dataset,sample_idx,acceptance_rate,dlm_tps,tlm_tps,spd_tps,total_generated_tokens,num_iters,prefill_time_s,tlm_decode_time_s,dlm_decode_time_s
humaneval,0,6.5429,2120.54,43.29,237.19,458,70,0.2622,1.4027,0.5282
humaneval,1,5.2315,2179.97,41.83,190.85,565,108,0.2459,2.1678,0.7927
humaneval,2,6.7556,2155.41,43.53,246.25,304,45,0.1449,0.9005,0.334
humaneval,3,5.8333,2198.99,42.66,213.79,315,54,0.2547,1.0805,0.3929
humaneval,4,7.38,2175.47,43.94,269.37,369,50,0.2458,1.0021,0.3677
humaneval,5,6.1667,2111.69,43.06,223.75,296,48,0.1532,0.9592,0.3637
humaneval,6,6.2167,2152.8,43.05,226.54,373,60,0.2585,1.2006,0.4459
humaneval,7,5.8636,2195.24,42.69,214.8,258,44,0.1544,0.8804,0.3207
humaneval,8,5.9375,2206.31,42.69,217.5,285,48,0.2473,0.9623,0.3481
humaneval,9,7.5435,2196.17,44.09,276.21,347,46,0.1543,0.9212,0.3351
humaneval,10,7.2237,2185.78,43.73,263.57,549,76,0.265,1.5266,0.5563
humaneval,11,5.7833,2185.71,42.63,211.69,347,60,0.1453,1.2,0.4392
humaneval,12,5.9355,2177.02,42.71,216.74,368,62,0.1544,1.2423,0.4557
humaneval,13,7.5417,2194.63,44.08,276.02,362,48,0.1454,0.9615,0.3499
humaneval,14,6.7838,2202.41,43.62,248.98,251,37,0.1362,0.7393,0.2688
humaneval,15,6.64,2232.75,43.46,244.42,166,25,0.1363,0.5,0.1792
humaneval,16,5.4524,2194.05,42.28,199.89,229,42,0.1362,0.8394,0.3063
humaneval,17,5.6863,2255.09,42.34,209.21,580,102,0.284,2.0486,0.7237
humaneval,18,5.6557,2189.0,42.44,206.94,345,61,0.1545,1.2213,0.4459
humaneval,19,6.9275,2263.8,43.6,255.52,478,69,0.2464,1.383,0.4877
humaneval,20,6.358,2204.7,43.02,232.54,515,81,0.2738,1.6268,0.5878
humaneval,21,7.381,2267.13,43.95,272.42,465,63,0.2555,1.2623,0.4446
humaneval,22,6.8,2203.61,43.55,249.29,272,40,0.1541,0.8007,0.2904
humaneval,23,3.5507,2199.52,39.09,130.37,245,69,0.1268,1.3774,0.5019
humaneval,24,4.8939,2184.43,41.49,179.01,323,66,0.1281,1.321,0.4834
humaneval,25,6.4324,2256.8,43.18,237.07,476,74,0.2553,1.4832,0.5246
humaneval,26,7.5306,2195.49,44.08,275.72,369,49,0.1457,0.9812,0.3571
humaneval,27,4.6744,2221.1,41.21,171.9,201,43,0.1272,0.8596,0.3098
humaneval,28,4.3684,2210.42,40.71,160.44,166,38,0.1367,0.7596,0.2751
humaneval,29,6.0488,2222.96,42.93,222.48,248,41,0.1532,0.8196,0.2951
humaneval,30,6.0465,2232.59,42.85,222.38,260,43,0.2475,0.861,0.3082
humaneval,31,8.6667,2293.71,44.76,320.92,312,36,0.2464,0.7211,0.2511
humaneval,32,5.1007,2184.06,41.45,185.51,760,149,0.4121,3.0053,1.0915
humaneval,33,6.975,2261.77,43.56,256.9,558,80,0.2642,1.6061,0.5659
humaneval,34,5.0769,2208.15,41.77,186.32,198,39,0.1461,0.7801,0.2826
humaneval,35,5.7308,2216.05,42.5,210.29,298,52,0.1535,1.0416,0.3754
humaneval,36,6.5135,2163.11,43.01,236.39,964,148,0.1455,2.9833,1.0947
humaneval,37,6.1667,2256.22,42.78,226.68,555,90,0.2547,1.8101,0.6382
humaneval,38,5.381,2204.49,41.9,196.52,452,84,0.2745,1.6904,0.6097
humaneval,39,8.1573,2198.36,44.23,297.53,726,89,0.1537,1.7924,0.6478
humaneval,40,7.3803,2208.09,43.72,269.45,524,71,0.2746,1.4302,0.5145
humaneval,41,4.974,2257.16,41.39,182.83,383,77,0.2739,1.5491,0.5458
humaneval,42,7.825,2243.71,44.0,286.81,313,40,0.2465,0.8061,0.2852
humaneval,43,7.9048,2292.73,44.06,291.39,332,42,0.2724,0.8463,0.2931
humaneval,44,6.05,2198.65,42.63,220.75,363,60,0.1537,1.2078,0.4366
humaneval,45,5.3519,2220.41,41.86,195.81,289,54,0.1268,1.0868,0.3891
humaneval,46,7.75,2219.81,43.85,282.77,558,72,0.2818,1.4543,0.519
humaneval,47,6.7451,2233.76,43.3,247.29,344,51,0.1439,1.0258,0.3653
humaneval,48,5.2,2216.79,41.67,190.18,260,50,0.1451,1.0063,0.3609
humaneval,49,5.9512,2270.48,42.44,218.64,488,82,0.2459,1.6541,0.5779
humaneval,50,4.4353,2195.2,40.5,161.65,377,85,0.1523,1.7126,0.6195
humaneval,51,5.3214,2283.6,41.8,196.03,298,56,0.2551,1.1278,0.3924
humaneval,52,6.3438,2235.22,42.85,232.21,203,32,0.1453,0.6451,0.2291
humaneval,53,4.6571,2250.66,40.95,171.13,163,35,0.1273,0.7037,0.2488
humaneval,54,6.3158,2230.79,42.8,230.98,360,57,0.2653,1.1498,0.4088
humaneval,55,6.4524,2231.14,43.04,236.47,271,42,0.1355,0.8449,0.3012
humaneval,56,5.6912,2190.06,42.26,207.46,387,68,0.1533,1.3686,0.4968
humaneval,57,7.6842,2216.78,43.9,280.7,438,57,0.1525,1.149,0.4114
humaneval,58,8.1143,2256.53,44.16,297.77,284,35,0.2551,0.7056,0.2482
humaneval,59,5.8289,2210.39,42.39,212.92,443,76,0.136,1.5304,0.5501
humaneval,60,7.3333,2254.67,43.7,269.26,264,36,0.2473,0.725,0.2555
humaneval,61,6.96,2220.69,43.45,254.68,348,50,0.153,1.0062,0.3602
humaneval,62,6.9828,2223.02,43.39,255.26,405,58,0.2474,1.1692,0.4174
humaneval,63,7.4923,2269.12,43.71,275.09,487,65,0.2643,1.312,0.4583
humaneval,64,7.6912,2223.58,43.81,280.74,523,68,0.2563,1.3736,0.4893
humaneval,65,6.8197,2214.0,43.31,249.21,416,61,0.1443,1.2284,0.4408
humaneval,66,5.7619,2217.29,42.24,210.37,484,84,0.2564,1.6945,0.6061
humaneval,67,5.4795,2270.04,41.85,201.06,400,73,0.3074,1.475,0.5145
humaneval,68,6.9892,2208.33,43.11,253.8,650,93,0.4451,1.8873,0.6738
humaneval,69,8.96,2273.88,44.55,329.06,448,50,0.2714,1.0096,0.3518
humaneval,70,8.3,2230.06,44.2,303.29,498,60,0.2563,1.2115,0.4305
humaneval,71,8.0,2271.79,44.03,293.76,504,63,0.2555,1.272,0.4437
humaneval,72,6.6949,2231.6,43.03,244.43,395,59,0.3084,1.193,0.423
humaneval,73,6.6264,2254.94,42.91,242.33,603,91,0.2723,1.8427,0.6457
humaneval,74,8.5714,2255.4,44.41,314.46,360,42,0.2914,0.8469,0.298
humaneval,75,5.7105,2192.47,42.2,207.95,651,114,0.1435,2.2987,0.8319
humaneval,76,4.881,2205.68,41.25,178.31,410,84,0.264,1.6901,0.6093
humaneval,77,6.7917,2281.45,43.41,250.67,326,48,0.2449,0.9639,0.3366
humaneval,78,5.5833,2214.11,42.15,204.17,335,60,0.4521,1.2072,0.4336
humaneval,79,6.3415,2287.17,43.08,234.45,260,41,0.2635,0.8222,0.2868
humaneval,80,5.5532,2226.85,42.25,203.84,261,47,0.2559,0.9427,0.3377
humaneval,81,7.0635,2260.87,43.47,259.43,445,63,0.4176,1.2695,0.4458
humaneval,82,6.7843,2202.63,43.44,248.26,346,51,0.1449,1.0232,0.3705
humaneval,83,6.3917,2188.27,42.97,232.96,767,120,0.1271,2.415,0.8774
humaneval,84,9.0758,2205.61,44.76,331.47,599,66,0.2644,1.3283,0.4788
humaneval,85,5.7073,2224.74,42.43,209.47,234,41,0.1355,0.8222,0.2949
humaneval,86,4.8923,2215.99,41.39,179.32,318,65,0.256,1.304,0.4693
humaneval,87,7.5238,2256.18,43.79,276.11,474,63,0.4088,1.27,0.4468
humaneval,88,6.8806,2207.26,43.35,251.19,461,67,0.2995,1.3496,0.4857
humaneval,89,5.5116,2237.92,42.12,202.28,711,129,0.2452,2.5926,0.9223
humaneval,90,6.9111,2221.06,43.54,253.44,311,45,0.2547,0.9029,0.3242
humaneval,91,4.6435,2015.64,41.2,166.37,534,115,0.2546,2.2969,0.9129
humaneval,92,7.9592,2000.93,44.5,284.65,390,49,0.2802,0.9783,0.3918
humaneval,93,4.7041,2017.18,41.29,168.57,461,98,0.2587,1.9575,0.7773
humaneval,94,10.4062,1985.91,45.23,368.64,666,64,0.4877,1.291,0.5156
humaneval,95,6.0656,2025.1,42.94,217.45,370,61,0.2989,1.2196,0.482
humaneval,96,6.8354,1986.54,43.52,243.26,540,79,0.2911,1.5836,0.6363
humaneval,97,6.4225,2022.32,43.29,230.22,456,71,0.2578,1.419,0.5617
humaneval,98,7.2889,1993.89,44.07,260.53,328,45,0.1552,0.8979,0.3611
humaneval,99,6.7792,2025.79,43.5,242.69,522,77,0.2893,1.5427,0.6082
humaneval,100,7.2805,1980.2,43.86,258.87,597,82,0.2721,1.6437,0.6626
humaneval,101,4.9143,2027.71,41.48,176.0,344,70,0.2593,1.4022,0.5523
humaneval,102,7.1273,1992.94,43.78,254.0,392,55,0.166,1.1017,0.4416
humaneval,103,6.9167,2022.89,43.54,247.24,498,72,0.2797,1.4448,0.5695
humaneval,104,6.8627,1997.96,43.57,244.75,350,51,0.2602,1.0216,0.4084
humaneval,105,9.5333,2025.41,44.95,340.08,572,60,0.4539,1.208,0.474
humaneval,106,8.8909,1992.54,44.95,317.22,489,55,0.2705,1.0999,0.4416
humaneval,107,7.6364,2031.24,44.1,273.45,504,66,0.3179,1.3232,0.5199
humaneval,108,6.6575,1979.24,43.48,237.08,486,73,0.269,1.4598,0.5901
humaneval,109,5.5303,2002.17,42.11,196.8,730,132,0.4631,2.6544,1.0549
humaneval,110,5.9643,1975.37,42.78,212.1,501,84,0.3096,1.6817,0.6804
humaneval,111,7.5538,2022.11,44.15,270.59,491,65,0.2892,1.3002,0.5143
humaneval,112,7.6271,2206.39,43.94,278.64,450,59,0.2751,1.1871,0.4278
humaneval,113,6.1842,2249.38,42.83,227.28,470,76,0.2808,1.5273,0.5406
humaneval,114,7.8209,2182.45,44.12,285.15,524,67,0.1538,1.3464,0.4912
humaneval,115,7.7303,2245.2,43.75,282.5,688,89,0.4445,1.8011,0.6342
humaneval,116,5.0098,2189.04,41.39,182.51,511,102,0.2818,2.0543,0.7455
humaneval,117,6.5072,2257.41,43.12,239.35,449,69,0.2808,1.3869,0.4891
humaneval,118,9.0408,2187.94,44.82,329.95,443,49,0.2648,0.9843,0.3583
humaneval,119,6.4562,2216.88,42.78,235.15,1033,160,0.2809,3.2382,1.1548
humaneval,120,8.127,2218.24,44.04,296.25,512,63,0.3088,1.2739,0.4544
humaneval,121,6.4143,2267.02,42.96,235.85,449,70,0.246,1.4097,0.494
humaneval,122,8.8158,2241.27,44.69,323.69,335,38,0.2654,0.7637,0.2713
humaneval,123,7.4769,2269.54,43.65,274.29,486,65,0.3994,1.3136,0.4582
humaneval,124,6.2155,2202.41,42.47,225.64,721,116,0.4289,2.3526,0.8427
humaneval,125,5.0729,2258.03,41.44,186.21,487,96,0.264,1.9351,0.6802
humaneval,126,7.2444,2204.0,43.36,263.19,652,90,0.4114,1.8239,0.6534
humaneval,127,7.8293,2257.6,43.83,286.59,642,82,0.4095,1.659,0.5811
humaneval,128,7.0308,2215.12,43.45,256.87,457,65,0.2559,1.3096,0.4695
